,year,eps_value,ticker
3,2018,$1.96,PNR
4,2017,$3.63,PNR
5,2016,$2.85,PNR
6,2015,$-0.42,PNR
7,2014,$1.11,PNR
8,2013,$2.62,PNR
9,2012,$-0.84,PNR
10,2011,$-0.08,PNR
11,2010,$1.86,PNR
12,2009,$1.17,PNR
0,2021,$5.49,PEP
1,2020,$5.12,PEP
2,2019,$5.20,PEP
3,2018,$8.78,PEP
4,2017,$3.38,PEP
5,2016,$4.36,PEP
6,2015,$3.67,PEP
7,2014,$4.27,PEP
8,2013,$4.32,PEP
9,2012,$3.92,PEP
10,2011,$4.03,PEP
11,2010,$3.91,PEP
12,2009,$3.77,PEP
0,2021,$8.08,PKI
1,2020,$6.49,PKI
2,2019,$2.04,PKI
3,2018,$2.13,PKI
4,2017,$2.64,PKI
5,2016,$2.12,PKI
6,2015,$1.87,PKI
7,2014,$1.39,PKI
8,2013,$1.47,PKI
9,2012,$0.61,PKI
10,2011,$0.07,PKI
11,2010,$3.31,PKI
12,2009,$0.70,PKI
0,2021,$3.85,PFE
1,2020,$1.63,PFE
2,2019,$2.82,PFE
3,2018,$1.87,PFE
4,2017,$3.52,PFE
5,2016,$1.17,PFE
6,2015,$1.11,PFE
7,2014,$1.42,PFE
8,2013,$3.19,PFE
9,2012,$1.94,PFE
10,2011,$1.27,PFE
11,2010,$1.02,PFE
12,2009,$1.23,PFE
0,2021,$-0.05,PCG
1,2020,$-1.05,PCG
2,2019,$-14.50,PCG
3,2018,$-13.25,PCG
4,2017,$3.21,PCG
5,2016,$2.78,PCG
6,2015,$1.79,PCG
7,2014,$3.06,PCG
8,2013,$1.83,PCG
9,2012,$1.92,PCG
10,2011,$2.10,PCG
11,2010,$2.82,PCG
12,2009,$3.20,PCG
0,2021,$5.83,PM
1,2020,$5.16,PM
2,2019,$4.61,PM
3,2018,$5.08,PM
4,2017,$3.88,PM
5,2016,$4.48,PM
6,2015,$4.42,PM
7,2014,$4.76,PM
8,2013,$5.26,PM
9,2012,$5.17,PM
10,2011,$4.85,PM
11,2010,$3.92,PM
12,2009,$3.24,PM
0,2021,$2.97,PSX
1,2020,$-9.06,PSX
2,2019,$6.77,PSX
3,2018,$11.80,PSX
4,2017,$9.85,PSX
5,2016,$2.92,PSX
6,2015,$7.73,PSX
7,2014,$8.33,PSX
8,2013,$6.02,PSX
9,2012,$6.48,PSX
10,2011,$7.52,PSX
11,2010,$1.16,PSX
12,2009,$0.00,PSX
0,2021,$5.47,PNW
1,2020,$4.87,PNW
2,2019,$4.77,PNW
3,2018,$4.54,PNW
4,2017,$4.35,PNW
5,2016,$3.95,PNW
6,2015,$3.92,PNW
7,2014,$3.58,PNW
8,2013,$3.66,PNW
9,2012,$3.45,PNW
10,2011,$3.09,PNW
11,2010,$3.27,PNW
12,2009,$0.67,PNW
0,2021,$8.61,PXD
1,2020,$-1.21,PXD
2,2019,$4.59,PXD
3,2018,$5.70,PXD
4,2017,$4.85,PXD
5,2016,$-3.34,PXD
6,2015,$-1.83,PXD
7,2014,$6.38,PXD
8,2013,$-6.16,PXD
9,2012,$1.50,PXD
10,2011,$6.88,PXD
11,2010,$5.08,PXD
12,2009,$-0.46,PXD
0,2021,$12.70,PNC
1,2020,$16.96,PNC
2,2019,$11.39,PNC
3,2018,$10.71,PNC
4,2017,$10.36,PNC
5,2016,$7.30,PNC
6,2015,$7.39,PNC
7,2014,$7.30,PNC
8,2013,$7.36,PNC
9,2012,$5.28,PNC
10,2011,$5.64,PNC
11,2010,$5.74,PNC
12,2009,$4.36,PNC
0,2021,$15.97,POOL
1,2020,$8.97,POOL
2,2019,$6.40,POOL
3,2018,$5.62,POOL
4,2017,$4.51,POOL
5,2016,$3.47,POOL
6,2015,$2.90,POOL
7,2014,$2.44,POOL
8,2013,$2.05,POOL
9,2012,$1.71,POOL
10,2011,$1.47,POOL
11,2010,$1.15,POOL
12,2009,$0.39,POOL
0,2021,$6.01,PPG
1,2020,$4.45,PPG
2,2019,$5.22,PPG
3,2018,$5.47,PPG
4,2017,$6.18,PPG
5,2016,$3.27,PPG
6,2015,$5.14,PPG
7,2014,$7.52,PPG
8,2013,$11.13,PPG
9,2012,$3.03,PPG
10,2011,$3.44,PPG
11,2010,$2.32,PPG
12,2009,$1.02,PPG
0,2021,$-1.93,PPL
1,2020,$1.91,PPL
2,2019,$2.37,PPL
3,2018,$2.58,PPL
4,2017,$1.64,PPL
5,2016,$2.79,PPL
6,2015,$1.01,PPL
7,2014,$2.61,PPL
8,2013,$1.76,PPL
9,2012,$2.60,PPL
10,2011,$2.70,PPL
11,2010,$2.17,PPL
12,2009,$1.08,PPL
0,2021,$6.27,PFG
1,2020,$5.05,PFG
2,2019,$4.96,PFG
3,2018,$5.36,PFG
4,2017,$7.88,PFG
5,2016,$4.50,PFG
6,2015,$4.06,PFG
7,2014,$3.65,PFG
8,2013,$2.95,PFG
9,2012,$2.58,PFG
10,2011,$1.91,PFG
11,2010,$1.95,PFG
12,2009,$1.97,PFG
0,2022,$5.81,PG
1,2021,$5.50,PG
2,2020,$4.96,PG
3,2019,$1.43,PG
4,2018,$3.67,PG
5,2017,$5.59,PG
6,2016,$3.69,PG
7,2015,$2.44,PG
8,2014,$4.01,PG
9,2013,$3.86,PG
10,2012,$3.66,PG
11,2011,$3.93,PG
12,2010,$4.11,PG
13,2009,$4.26,PG
0,2021,$5.66,PGR
1,2020,$9.66,PGR
2,2019,$6.72,PGR
3,2018,$4.42,PGR
4,2017,$2.72,PGR
5,2016,$1.76,PGR
6,2015,$2.15,PGR
7,2014,$2.15,PGR
8,2013,$1.93,PGR
9,2012,$1.48,PGR
10,2011,$1.59,PGR
11,2010,$1.61,PGR
12,2009,$1.57,PGR
0,2021,$3.94,PLD
1,2020,$2.01,PLD
2,2019,$2.46,PLD
3,2018,$2.87,PLD
4,2017,$3.06,PLD
5,2016,$2.27,PLD
6,2015,$1.64,PLD
7,2014,$1.24,PLD
8,2013,$0.64,PLD
9,2012,$-0.18,PLD
10,2011,$-0.51,PLD
11,2010,$-5.90,PLD
12,2009,$-0.01,PLD
0,2021,$19.51,PRU
1,2020,$-1.00,PRU
2,2019,$10.11,PRU
3,2018,$9.50,PRU
4,2017,$17.86,PRU
5,2016,$9.71,PRU
6,2015,$12.17,PRU
7,2014,$3.23,PRU
8,2013,$-1.55,PRU
9,2012,$1.05,PRU
10,2011,$7.12,PRU
11,2010,$5.32,PRU
12,2009,$7.63,PRU
