,Total_value_todate,Return_without_trailing,Return_trailing_12m
2020-06-05,12250.300563274435,122.50300563274435,103.89384440717882
2020-06-10,12476.457469502282,124.76457469502282,105.32767661917227
2020-06-11,12210.27315358877,122.10273153588771,102.7747875832903
2020-06-12,12074.56237175803,120.74562371758029,104.37307644831475
2020-06-17,12361.398758825424,123.61398758825423,106.12032237785536
2020-06-18,12286.680208934711,122.8668020893471,102.12974192972378
2020-06-19,12476.767985395058,124.76767985395058,103.78898345663792
2020-06-24,12378.365424649257,123.78365424649257,103.81908250681373
2020-06-25,12157.261805003101,121.57261805003101,101.73069786178249
2020-06-26,12130.751571348372,121.30751571348372,100.41371270049486
2020-07-01,12387.460449800183,123.87460449800183,100.0400975421559
2020-07-02,12584.550802614167,125.84550802614167,102.52433047432041
2020-07-08,12771.497594031938,127.71497594031938,104.25456524977041
2020-07-09,12935.818886329213,129.35818886329213,103.68182569411071
2020-07-10,13116.938716595763,131.16938716595763,107.42543227004313
2020-07-15,13195.392652655068,131.95392652655067,109.28257477487233
2020-07-16,13158.922009507894,131.58922009507893,106.45172335463313
2020-07-17,13230.149627627776,132.30149627627776,107.67879852530862
2020-07-22,13478.902087858907,134.78902087858907,108.03200078447335
2020-07-23,13552.577652076307,135.5257765207631,109.48600390394697
2020-07-24,13190.493702365648,131.90493702365646,108.4988866237736
2020-07-29,13427.66569278093,134.2766569278093,110.69112753488201
2020-07-30,13458.194660431129,134.5819466043113,108.64369428237583
2020-07-31,13643.407742436444,136.43407742436443,108.4139430674182
2020-08-05,13836.96330649671,138.3696330649671,108.34252760586713
2020-08-06,13856.78267278284,138.5678267278284,107.11948578243404
2020-08-07,13834.645254846679,138.34645254846677,105.47160091053
2020-08-12,13887.967823805764,138.87967823805764,105.24861358340361
2020-08-13,13999.55838611337,139.9955838611337,106.38833770728391
2020-08-14,14083.383714675281,140.8338371467528,106.44916430321956
2020-08-19,14247.285803602435,142.47285803602438,105.70064023564387
2020-08-20,14115.634294555604,141.15634294555605,104.15460923327035
2020-08-21,14149.110130518942,141.49110130518943,107.26747951808181
2020-08-26,14334.84716706466,143.3484716706466,106.75606240905636
2020-08-27,14424.009402990472,144.24009402990472,107.17640639720398
2020-08-28,14348.168932585793,143.48168932585793,105.16558035539217
2020-09-03,14639.736970596756,146.39736970596755,105.80166071354058
2020-09-04,14132.978415434141,141.3297841543414,101.99321696221591
2020-09-09,13763.712228637076,137.63712228637075,99.48727976104227
2020-09-10,13978.918642497152,139.78918642497152,100.65488932466768
2020-09-11,13820.468674551737,138.2046867455174,98.72074742200955
2020-09-16,14186.96007924653,141.8696007924653,100.73545084526327
2020-09-17,13759.586397699473,137.59586397699474,96.57689603040288
2020-09-18,13892.888880832998,138.92888880832996,98.42199500869387
2020-09-23,14001.95622798055,140.01956227980548,98.95997768636356
2020-09-24,13580.921474149553,135.8092147414955,94.74060878272002
